doctor_id,insurance_id
11100001,1239
11100002,1205
11100003,1222
11100004,1208
11100005,1203
11100006,1231
11100007,1219
11100008,1216
11100009,1227
11100010,1249
11100011,1204
11100012,1250
11100013,1259
11100014,1259
11100015,1234
11100016,1231
11100017,1213
11100018,1228
11100019,1244
11100020,1237
11100021,1246
11100022,1206
11100023,1201
11100024,1206
11100025,1217
11100026,1207
11100027,1209
11100028,1202
11100029,1253
11100030,1219
11100031,1208
11100032,1257
11100033,1226
11100034,1242
11100035,1248
11100036,1250
11100037,1239
11100038,1223
11100039,1235
11100040,1205
11100041,1209
11100042,1204
11100043,1253
11100044,1210
11100045,1225
11100046,1241
11100047,1248
11100048,1235
11100049,1231
11100050,1243
11100051,1240
11100052,1225
11100053,1245
11100054,1229
11100055,1238
11100056,1207
11100057,1247
11100058,1214
11100059,1202
11100060,1238
11100061,1242
11100062,1209
11100063,1244
11100064,1259
11100065,1210
11100066,1206
11100067,1244
11100068,1218
11100069,1215
11100070,1210
11100071,1204
11100072,1205
11100073,1234
11100074,1228
11100075,1222
11100076,1202
11100077,1241
11100078,1246
11100079,1233
11100080,1233
11100081,1221
11100082,1222
11100083,1248
11100084,1216
11100085,1229
11100086,1248
11100087,1214
11100088,1232
11100089,1244
11100090,1210
11100091,1235
11100092,1222
11100093,1214
11100094,1241
11100095,1223
11100096,1202
11100097,1221
11100098,1236
11100099,1238
11100100,1201
11100101,1250
11100102,1231
11100103,1232
11100104,1234
11100105,1257
11100106,1227
11100107,1221
11100108,1242
11100109,1229
11100110,1246
11100111,1244
11100112,1234
11100113,1242
11100114,1224
11100115,1231
11100116,1219
11100117,1228
11100118,1222
11100119,1253
11100120,1223
11100121,1234
11100122,1220
11100123,1246
11100124,1221
11100125,1204
11100126,1244
11100127,1222
11100128,1230
11100129,1243
11100130,1215
11100131,1235
11100132,1233
11100133,1239
11100134,1248
11100135,1251
11100136,1240
11100137,1257
11100138,1251
11100139,1239
11100140,1247
11100141,1208
11100142,1246
11100143,1214
11100144,1237
11100145,1202
11100146,1252
11100147,1256
11100148,1220
11100149,1218
11100150,1210
11100151,1240
11100152,1205
11100153,1220
11100154,1238
11100155,1252
11100156,1213
11100157,1218
11100158,1256
11100159,1211
11100160,1254
11100161,1212
11100162,1209
11100163,1206
11100164,1250
11100165,1226
11100166,1244
11100167,1223
11100168,1231
11100169,1205
11100170,1246
11100171,1207
11100172,1203
11100173,1212
11100174,1245
11100175,1224
11100176,1228
11100177,1256
11100178,1256
11100179,1240
11100180,1213
11100181,1239
11100182,1210
11100183,1203
11100184,1216
11100185,1236
11100186,1209
11100187,1228
11100188,1257
11100189,1244
11100190,1254
11100191,1240
11100192,1259
11100193,1249
11100194,1244
11100195,1222
11100196,1242
11100197,1248
11100198,1202
11100199,1233
11100200,1250
11100201,1206
11100202,1220
11100203,1218
11100204,1208
11100205,1230
11100206,1250
11100207,1230
11100208,1221
11100209,1236
11100210,1248
11100211,1252
11100212,1203
11100213,1232
11100214,1227
11100215,1249
11100216,1223
11100217,1255
11100218,1250
11100219,1246
11100220,1229
11100221,1248
11100222,1229
11100223,1232
11100224,1242
11100225,1227
11100226,1236
11100227,1208
11100228,1207
11100229,1221
11100230,1203
11100231,1229
11100232,1217
11100233,1217
11100234,1234
11100235,1210
11100236,1224
11100237,1228
11100238,1230
11100239,1231
11100240,1241
11100241,1202
11100242,1213
11100243,1201
11100244,1244
11100245,1216
11100246,1253
11100247,1250
11100248,1236
11100249,1206
11100250,1230
11100251,1245
11100252,1239
11100253,1228
11100254,1248
11100255,1218
11100256,1223
11100257,1238
11100258,1218
11100259,1244
11100260,1243
11100261,1236
11100262,1233
11100263,1227
11100264,1209
11100265,1254
11100266,1236
11100267,1232
11100268,1231
11100269,1235
11100270,1250
11100271,1250
11100272,1254
11100273,1241
11100274,1243
11100275,1241
11100276,1217
11100277,1228
11100278,1227
11100279,1248
11100280,1204
11100281,1212
11100282,1237
11100283,1230
11100284,1205
11100285,1220
11100286,1241
11100287,1247
11100288,1250
11100289,1249
11100290,1259
11100291,1246
11100292,1226
11100293,1226
11100294,1232
11100295,1238
11100296,1257
11100297,1222
11100298,1216
