rating_id,rater_id,ratee_id,overall_rate
33306001,11101052,553692,5
33306002,11100340,555373,4
33306003,11101129,553436,3
33306004,11101798,553768,0
33306005,11100338,553852,4
33306006,11100387,552621,2
33306007,11101961,552411,1
33306008,11100792,554436,4
33306009,11101220,555866,1
33306010,11100751,553429,2
33306011,11100783,553876,3
33306012,11101845,551566,5
33306013,11101879,552220,5
33306014,11101369,554157,2
33306015,11101916,555988,2
33306016,11100565,552299,0
33306017,11100672,552612,2
33306018,11101126,554824,1
33306019,11100365,555370,1
33306020,11101883,554033,5
33306021,11100906,554366,5
33306022,11100512,551479,5
33306023,11101712,555820,2
33306024,11101186,551836,5
33306025,11101660,552626,3
33306026,11101309,552360,2
33306027,11101034,551133,0
33306028,11101666,554358,1
33306029,11100270,553783,4
33306030,11101801,551403,3
33306031,11100741,551684,5
33306032,11101487,553670,0
33306033,11100081,552831,2
33306034,11100869,553151,2
33306035,11101207,553181,0
33306036,11100410,554711,4
33306037,11100814,554173,2
33306038,11101668,555505,3
33306039,11100660,552523,5
33306040,11101395,553211,1
33306041,11100012,552089,3
33306042,11100065,552733,2
33306043,11100053,552992,3
33306044,11100063,554583,5
33306045,11100633,551918,5
33306046,11101955,554325,2
33306047,11101474,551557,0
33306048,11101427,552878,0
33306049,11100044,551796,2
33306050,11100617,551062,5
33306051,11101152,552215,2
33306052,11101435,553720,2
33306053,11100736,551444,4
33306054,11100152,551427,4
33306055,11101195,551179,4
33306056,11100728,555831,0
33306057,11101962,554562,5
33306058,11100322,555669,0
33306059,11100011,555604,1
33306060,11100026,552072,5
33306061,11101921,552839,1
33306062,11101958,554926,4
33306063,11101236,552104,2
33306064,11100664,554306,0
33306065,11100521,551883,4
33306066,11101020,555156,1
33306067,11101495,555421,0
33306068,11101524,553204,5
33306069,11100967,553692,1
33306070,11101511,553237,3
33306071,11100525,552083,4
33306072,11100599,554850,1
33306073,11101045,553201,0
33306074,11100234,554919,5
33306075,11101654,554149,0
33306076,11101116,551610,4
33306077,11101795,553664,3
33306078,11101718,555492,4
33306079,11100513,554454,0
33306080,11101761,551601,0
33306081,11101504,553698,2
33306082,11100275,554429,0
33306083,11101030,551150,0
33306084,11101797,555454,1
33306085,11101195,551754,3
33306086,11101643,554217,4
33306087,11100892,551405,1
33306088,11100593,555754,2
33306089,11101129,551388,5
33306090,11100556,554694,5
33306091,11101296,553769,3
33306092,11101533,555963,4
33306093,11100500,555162,1
33306094,11101752,552898,0
33306095,11100443,555744,3
33306096,11101824,555294,1
33306097,11100049,554633,0
33306098,11101033,553139,5
33306099,11100320,551657,3
33306100,11101122,553155,1
33306101,11101612,553457,5
33306102,11101376,554647,2
33306103,11100958,555115,1
33306104,11101912,552816,1
33306105,11100796,555791,5
33306106,11101677,554688,3
33306107,11100538,551948,2
33306108,11100967,555453,0
33306109,11101900,554303,2
33306110,11100001,554658,1
33306111,11101652,554333,3
33306112,11100212,555567,0
33306113,11101270,553100,4
33306114,11100013,553161,2
33306115,11100233,551140,0
33306116,11100534,551587,3
33306117,11100666,553539,0
33306118,11100730,552513,0
33306119,11101713,552060,5
33306120,11100070,553704,2
33306121,11101511,554856,4
33306122,11100375,555812,4
33306123,11101589,553696,2
33306124,11101829,551916,3
33306125,11101694,553726,5
33306126,11100616,553382,2
33306127,11100503,551335,5
33306128,11100454,552361,4
33306129,11101254,552294,0
33306130,11101720,552063,0
33306131,11101192,554266,2
33306132,11101991,552842,2
33306133,11101793,555981,1
33306134,11101255,551579,0
33306135,11101988,551858,1
33306136,11101646,555008,3
33306137,11101406,553332,5
33306138,11101256,551331,2
33306139,11100943,552739,2
33306140,11100397,554593,5
33306141,11101582,555093,2
33306142,11100523,552979,0
33306143,11100053,554377,4
33306144,11100653,552314,4
33306145,11101859,553453,0
33306146,11100545,555477,3
33306147,11100089,554178,2
33306148,11101341,555442,5
33306149,11100622,552856,3
33306150,11100863,555463,3
33306151,11100031,554248,4
33306152,11101152,555221,5
33306153,11100502,553616,1
33306154,11100397,552700,2
33306155,11101855,551525,5
33306156,11100908,555618,0
33306157,11100700,552138,0
33306158,11100688,552272,5
33306159,11101289,551479,3
33306160,11101197,554134,2
33306161,11100099,555465,5
33306162,11101289,553894,3
33306163,11100074,552402,1
33306164,11101836,554353,5
33306165,11100992,551004,3
33306166,11101543,552880,1
33306167,11100972,551202,3
33306168,11100244,553068,1
33306169,11101989,553465,3
33306170,11100291,552979,0
33306171,11101176,554397,4
33306172,11101807,554033,4
33306173,11100884,551202,1
33306174,11101185,552536,0
33306175,11101852,552771,5
33306176,11100233,552011,4
33306177,11101734,555367,3
33306178,11100619,553481,2
33306179,11101315,551334,2
33306180,11100913,552599,3
33306181,11101157,553870,3
33306182,11101174,551422,5
33306183,11100528,552264,4
33306184,11100947,551098,1
33306185,11100186,555878,1
33306186,11101873,552428,2
33306187,11101491,555801,4
33306188,11100711,552598,2
33306189,11100739,551278,1
33306190,11101158,555718,5
33306191,11100113,554197,4
33306192,11100697,551164,0
33306193,11101566,554278,2
33306194,11100548,553886,1
33306195,11100864,551258,4
33306196,11101720,555385,2
33306197,11100045,552520,2
33306198,11101020,551034,2
33306199,11100355,553223,3
33306200,11101959,551307,0
33306201,11101724,555933,0
33306202,11101436,552324,2
33306203,11100175,551817,5
33306204,11101617,554643,3
33306205,11101762,553898,3
33306206,11101492,554120,0
33306207,11100440,551245,5
33306208,11101270,555129,2
33306209,11101885,553005,0
33306210,11101934,553460,5
33306211,11100849,554808,5
33306212,11100866,554256,3
33306213,11101404,552129,5
33306214,11100664,554407,5
33306215,11100741,554421,3
33306216,11101745,552958,3
33306217,11100768,551960,2
33306218,11100111,555316,4
33306219,11100399,555261,5
33306220,11100447,555286,4
33306221,11100206,552148,3
33306222,11100737,552485,3
33306223,11100872,553680,2
33306224,11100579,555619,2
33306225,11100013,555057,0
33306226,11100136,552589,1
33306227,11101968,551522,4
33306228,11100773,555565,1
33306229,11100344,552649,0
33306230,11100060,555159,3
33306231,11100131,551856,5
33306232,11100878,551258,5
33306233,11101172,554133,3
33306234,11100207,553777,4
33306235,11101650,551543,2
33306236,11100704,555918,0
33306237,11100507,551064,0
33306238,11101388,552096,0
33306239,11101599,553171,3
33306240,11100309,553849,4
33306241,11101756,554415,0
33306242,11101429,554650,4
33306243,11101574,553203,4
33306244,11101317,551574,4
33306245,11100341,552832,1
33306246,11100964,555650,5
33306247,11100008,555925,2
33306248,11101378,555803,1
33306249,11100476,552270,4
33306250,11101926,551914,3
33306251,11100622,555555,1
33306252,11100398,555081,3
33306253,11100120,552683,3
33306254,11100265,555494,2
33306255,11100477,551493,2
33306256,11100042,555780,2
33306257,11101716,552006,5
33306258,11101751,554665,5
33306259,11100551,553904,1
33306260,11101478,551292,0
33306261,11100531,551637,2
33306262,11100096,555357,3
33306263,11100638,554713,3
33306264,11100765,552339,2
33306265,11100650,551032,0
33306266,11101331,554644,4
33306267,11101724,555861,1
33306268,11101665,551163,2
33306269,11100849,553439,5
33306270,11100016,554093,0
33306271,11100252,554610,0
33306272,11100133,554518,1
33306273,11101473,552374,3
