rating_id,rater_id,ratee_id,overall_rate
33300001,553427,11100576,5
33300002,553404,11101918,4
33300003,553537,11100492,0
33300004,554795,11101394,5
33300005,554791,11101867,5
33300006,554615,11100361,3
33300007,551142,11101436,4
33300008,553481,11100642,2
33300009,554556,11100333,5
33300010,553890,11101064,2
33300011,554979,11100287,1
33300012,553559,11101439,3
33300013,555032,11100094,5
33300014,551730,11100095,3
33300015,551368,11100482,3
33300016,553768,11100994,2
33300017,551111,11100176,2
33300018,555174,11101095,0
33300019,553659,11101860,1
33300020,555628,11101325,2
33300021,553047,11100063,0
33300022,554820,11101494,4
33300023,551746,11100786,4
33300024,554186,11100501,2
33300025,551786,11101874,5
33300026,551424,11101951,3
33300027,554608,11101088,4
33300028,554635,11100401,5
33300029,551825,11101732,0
33300030,555993,11100017,1
33300031,553200,11100667,1
33300032,555770,11101520,2
33300033,552409,11100975,5
33300034,555089,11101730,4
33300035,553841,11101440,4
33300036,555902,11101680,2
33300037,553464,11101186,2
33300038,552646,11101142,5
33300039,551292,11100234,3
33300040,553509,11101146,3
33300041,551873,11100013,5
33300042,553236,11101156,0
33300043,554973,11100560,1
33300044,555570,11101846,2
33300045,553323,11100709,4
33300046,552657,11100297,0
33300047,552970,11101754,4
33300048,553756,11100627,4
33300049,553714,11100791,1
33300050,555225,11100643,4
33300051,551937,11101318,0
33300052,552023,11101854,2
33300053,551412,11100140,1
33300054,554961,11100955,5
33300055,551191,11100073,1
33300056,555398,11100585,3
33300057,554629,11101224,1
33300058,555827,11101611,1
33300059,554600,11100799,5
33300060,551981,11101643,1
33300061,551113,11101247,0
33300062,552104,11100992,3
33300063,551070,11100737,2
33300064,551232,11101440,1
33300065,554380,11101737,3
33300066,553853,11100575,0
33300067,553602,11101352,5
33300068,551243,11100800,0
33300069,551899,11100041,4
33300070,555537,11101054,2
33300071,553057,11100005,2
33300072,551959,11101627,1
33300073,554923,11100702,0
33300074,553084,11101934,1
33300075,554274,11101485,4
33300076,553439,11100123,2
33300077,551038,11100797,4
33300078,551849,11100563,5
33300079,553809,11101804,0
33300080,553390,11100884,3
33300081,551658,11100929,1
33300082,555879,11101026,1
33300083,552863,11101262,5
33300084,551407,11100063,1
33300085,552283,11101598,5
33300086,555062,11101680,0
33300087,555299,11101701,5
33300088,552135,11100346,0
33300089,552977,11100946,3
33300090,551400,11101785,3
33300091,551483,11100564,0
33300092,551786,11100627,0
33300093,553753,11100511,3
33300094,551046,11101438,4
33300095,551403,11101267,3
33300096,551394,11101981,3
33300097,555737,11101240,5
33300098,553862,11100471,4
33300099,551956,11100689,3
33300100,555205,11100992,5
33300101,555945,11101785,2
33300102,555747,11101375,1
33300103,553903,11101826,3
33300104,555883,11101515,0
33300105,553540,11100438,2
33300106,552656,11101617,4
33300107,554591,11100386,0
33300108,554891,11101413,0
33300109,553793,11101914,3
33300110,553881,11101085,5
33300111,553085,11101484,1
33300112,553313,11101733,2
33300113,554788,11101246,4
33300114,555826,11100942,1
33300115,554746,11100585,5
33300116,553929,11101604,5
33300117,551170,11101081,3
33300118,551118,11101133,1
33300119,551916,11100740,0
33300120,555606,11101400,1
33300121,555519,11101245,4
33300122,551625,11101482,0
33300123,552757,11100336,1
33300124,554398,11100825,0
33300125,554660,11101214,3
33300126,555217,11100338,4
33300127,552104,11100136,3
33300128,554778,11100456,2
33300129,552991,11101514,1
33300130,551367,11101536,0
33300131,551925,11100272,1
33300132,553630,11100377,5
33300133,551438,11101009,4
33300134,555790,11101973,1
33300135,552225,11100438,4
33300136,553991,11101178,3
33300137,555815,11101163,5
33300138,555819,11101222,2
33300139,553232,11100873,0
33300140,555439,11100614,0
33300141,552228,11100625,3
33300142,553166,11100039,5
33300143,551938,11101545,4
33300144,552784,11101840,1
33300145,551192,11100898,5
33300146,552250,11100736,5
33300147,551360,11100391,3
33300148,555647,11100496,3
33300149,553229,11101918,2
33300150,553469,11100747,5
33300151,555739,11100028,2
33300152,554166,11100754,1
33300153,553882,11100311,2
33300154,552402,11100521,4
33300155,555843,11101671,1
33300156,553346,11100545,3
33300157,552180,11100824,5
33300158,555934,11100231,0
33300159,551958,11100110,3
33300160,552794,11100903,1
33300161,555511,11100108,1
33300162,555796,11100900,5
33300163,555881,11101689,5
33300164,552607,11100650,3
33300165,553216,11101504,2
33300166,553691,11101983,4
33300167,552301,11101786,4
33300168,555680,11101540,2
33300169,552519,11101044,0
33300170,553355,11101265,4
33300171,552662,11100288,4
33300172,554628,11101125,5
33300173,555456,11101178,2
33300174,553794,11101583,3
33300175,551297,11101181,4
33300176,555421,11101715,2
33300177,553060,11100948,2
33300178,553807,11101104,4
33300179,551181,11101966,4
33300180,551104,11100283,0
33300181,551073,11101610,2
33300182,551210,11100917,2
33300183,553235,11101523,0
33300184,552712,11100837,3
33300185,553737,11100808,1
33300186,555489,11101765,1
33300187,552222,11100550,5
33300188,555045,11101279,1
33300189,553169,11101607,5
33300190,551115,11100517,5
33300191,552369,11100884,5
33300192,554912,11100116,1
33300193,553756,11101568,3
33300194,552248,11101847,1
33300195,552522,11101704,0
33300196,555721,11100042,5
33300197,555697,11100668,2
33300198,551909,11101807,4
33300199,555538,11100826,4
33300200,553583,11101677,1
33300201,552845,11101628,0
33300202,553941,11101232,4
33300203,554092,11100766,2
33300204,554059,11101329,5
33300205,553559,11101465,0
33300206,554628,11101570,0
33300207,553526,11101044,1
33300208,555711,11101525,0
33300209,555261,11100151,4
33300210,555761,11101558,1
33300211,555061,11101481,5
33300212,554456,11101905,1
33300213,554046,11101287,4
33300214,555956,11101530,3
33300215,552254,11101357,1
33300216,551644,11100016,2
33300217,553248,11101555,4
33300218,555054,11100257,3
33300219,553052,11100482,4
33300220,551939,11101607,4
33300221,554268,11100484,2
33300222,555447,11100545,1
33300223,551784,11101001,5
33300224,553937,11100036,2
33300225,553072,11101750,0
33300226,552065,11101734,4
33300227,555239,11100951,1
33300228,554238,11100640,0
33300229,555882,11100305,0
33300230,553016,11101759,1
33300231,555377,11100928,4
33300232,554155,11101963,2
33300233,553169,11100780,0
33300234,555024,11101144,5
33300235,552845,11100253,4
33300236,555246,11100124,0
33300237,552063,11100584,2
33300238,555998,11100694,1
33300239,551726,11101649,5
33300240,552764,11101407,2
33300241,551232,11100284,5
33300242,551058,11100266,3
33300243,552280,11101995,3
33300244,554294,11101036,5
33300245,554303,11101900,0
33300246,551390,11100593,0
33300247,551486,11100418,3
33300248,555124,11101502,2
33300249,553009,11100156,3
33300250,555515,11101965,1
33300251,551117,11100550,3
33300252,553868,11100704,0
33300253,552322,11100346,1
33300254,552421,11101904,1
33300255,555205,11101702,2
33300256,555549,11101561,0
33300257,553185,11101775,1
33300258,552028,11100046,1
33300259,553287,11101115,5
33300260,553117,11101921,0
33300261,555112,11101237,1
33300262,554953,11101271,4
33300263,551968,11100147,4
33300264,554365,11100866,2
33300265,551158,11101501,3
33300266,553849,11100174,5
33300267,551170,11100445,2
33300268,555364,11100172,4
33300269,555709,11101282,3
33300270,554765,11100764,4
33300271,555991,11101914,0
33300272,552599,11101410,0
33300273,551982,11101528,2
33300274,554666,11100433,3
33300275,552313,11101735,3
33300276,555525,11100352,3
33300277,553114,11101695,1
33300278,555491,11100246,0
33300279,554679,11100849,1
33300280,552282,11100899,1
33300281,551247,11101539,2
33300282,555260,11101872,0
33300283,552605,11100057,0
33300284,552933,11100257,3
33300285,552594,11101374,5
33300286,553274,11101788,1
33300287,554553,11100572,0
33300288,552455,11100105,2
33300289,555145,11100909,5
33300290,555795,11100965,4
33300291,555553,11101399,4
33300292,551729,11101848,1
33300293,553671,11100081,2
33300294,555280,11101325,1
33300295,554144,11101597,5
33300296,551138,11100943,1
33300297,553412,11101081,0
